,,,,
노킹 온 헤븐스도어 Knocking on heaven's door,대구시,중구,중구 삼덕동2가 139-8,053-254-5882
공평주 公平酒,대구시,중구,중구 공평동 81-6,053-253-4865
펜트 76 Pent 76,대구시,중구,중구 북성로2가 59-2,010-4070-0076
소나무,대구시,중구,중구 동덕로 56-5,053-422-1341
,,,,
아로마 바 Aroma Bar,대구시,중구,중구 달성로 72 -11,
펠리키타스 Felicitas,대구시,남구,남구 봉덕동 688-31,053-473-3369
비 원 B1,대구시,수성구,수성구 두산동 680,010-2098-3148
하프 문 Half Moon,대구시,수성구,수성구 두산동 702,053-763-3568
,,,,
파라다이스 시티 루빅 Paradise City Rubik,인천시,중구,중구 영종해안남로 321길 186,1833-8855
,,,,
파라다이스 시티 크로마 뮤직 라운지,인천시,중구,중구 영종해안남로 321길 186,1833-8855
로어스 다이닝 바 Rawers Dining Bar,인천시,남동구,남동구 구월동 1171-24,070-7623-2020
온더바 On The Bar,인천시,부평구,부평구 부평동 206-1,032-505-2558
,,,,
철문,인천시,부평구,부평구 부평동 204-79,010-3636-3699
로즈힐 Rose Hill,인천시,서구,서구 푸른로 16번길 17,010-7721-6539
라이바리,인천시,미추홀구,미추홀구 용현동 193-5,010-6694-8399
